Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,cogs,Date,Time,Payment,Rating
750-67-8428,A,Trichy,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,522.83,2019-05-01,13:08,Ewallet,9.1
226-31-3081,C,Chennai,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,76.4,2019-08-03,10:29,Cash,9.6
631-41-3108,A,Trichy,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,324.31,2019-03-03,13:23,Credit card,7.4
123-19-1176,A,Trichy,Member,Male,Health and beauty,58.22,8,23.288,489.048,465.76,2019-01-27,20:33,Ewallet,8.4
373-73-7910,A,Trichy,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,604.17,2019-08-02,10:37,Ewallet,5.3
699-14-3026,C,Chennai,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,597.73,2019-03-25,18:30,Ewallet,4.1
355-53-5943,A,Trichy,Member,Female,Electronic accessories,68.84,6,20.652,433.692,413.04,2019-02-25,14:36,Ewallet,5.8
315-22-5665,C,Chennai,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,735.6,2019-02-24,11:38,Ewallet,8.0
665-32-9167,A,Trichy,Member,Female,Health and beauty,36.26,2,3.626,76.146,72.52,2019-10-01,17:15,Credit card,7.2
692-92-5582,B,karur,Member,Female,Food and beverages,54.84,3,8.226,172.746,164.52,2019-02-20,13:27,Credit card,5.9
351-62-0822,B,karur,Member,Female,Fashion accessories,14.48,4,2.896,60.816,57.92,2019-06-02,18:07,Ewallet,4.5
529-56-3974,B,karur,Member,Male,Electronic accessories,25.51,4,5.102,107.142,102.04,2019-09-03,17:03,Cash,6.8
365-64-0515,A,Trichy,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,234.75,2019-12-02,10:25,Ewallet,7.1
252-56-2699,A,Trichy,Normal,Male,Food and beverages,43.19,10,21.595,453.495,431.9,2019-07-02,16:48,Ewallet,8.2
829-34-3910,A,Trichy,Normal,Female,Health and beauty,71.38,10,35.69,749.49,713.8,2019-03-29,19:21,Cash,5.7
299-46-1805,B,karur,Member,Female,Sports and travel,93.72,6,28.116,590.436,562.32,2019-01-15,16:19,Cash,4.5
656-95-9349,A,Trichy,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,482.51,2019-11-03,11:03,Credit card,4.6
765-26-6951,A,Trichy,Normal,Male,Sports and travel,72.61,6,21.783,457.443,435.66,2019-01-01,10:39,Credit card,6.9
329-62-1586,A,Trichy,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,164.01,2019-01-21,18:00,Credit card,8.6
319-50-3348,B,karur,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,80.6,2019-11-03,15:30,Ewallet,4.4
300-71-4605,C,Chennai,Member,Male,Electronic accessories,86.04,5,21.51,451.71,430.2,2019-02-25,11:24,Ewallet,4.8
371-85-5789,B,karur,Normal,Male,Health and beauty,87.98,3,13.197,277.137,263.94,2019-05-03,10:40,Ewallet,5.1
273-16-6619,B,karur,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,66.4,2019-03-15,12:20,Credit card,4.4
636-48-8204,A,Trichy,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,172.8,2019-02-17,11:15,Ewallet,9.9
549-59-1358,A,Trichy,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,265.89,2019-02-03,17:36,Ewallet,6.0
227-03-5010,A,Trichy,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,420.72,2019-03-22,19:20,Credit card,8.5
649-29-6775,B,karur,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,33.52,2019-08-02,15:31,Cash,6.7
189-17-4241,A,Trichy,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,175.34,2019-10-03,12:17,Credit card,7.7
145-94-9061,B,karur,Normal,Female,Food and beverages,88.36,5,22.09,463.89,441.8,2019-01-25,19:48,Cash,9.6
848-62-7243,A,Trichy,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,224.01,2019-03-15,15:36,Cash,7.4
871-79-8483,B,karur,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,470.65,2019-02-25,19:39,Credit card,4.8
149-71-6266,B,karur,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,702.63,2019-01-28,12:43,Cash,4.5
640-49-2076,B,karur,Normal,Male,Sports and travel,83.78,8,33.512,703.752,670.24,2019-10-01,14:49,Cash,5.1
595-11-5460,A,Trichy,Normal,Male,Health and beauty,96.58,2,9.658,202.818,193.16,2019-03-15,10:12,Credit card,5.1
183-56-6882,C,Chennai,Member,Female,Food and beverages,99.42,4,19.884,417.564,397.68,2019-06-02,10:42,Ewallet,7.5
232-16-2483,C,Chennai,Member,Female,Sports and travel,68.12,1,3.406,71.526,68.12,2019-07-01,12:28,Ewallet,6.8
129-29-8530,A,Trichy,Member,Male,Sports and travel,62.62,5,15.655,328.755,313.1,2019-10-03,19:15,Ewallet,7.0
272-65-1806,A,Trichy,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,547.92,2019-01-15,17:17,Ewallet,4.7
333-73-7901,C,Chennai,Normal,Female,Health and beauty,54.92,8,21.968,461.328,439.36,2019-03-23,13:24,Ewallet,7.6
777-82-7220,B,karur,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,240.96,2019-03-03,13:01,Cash,7.7
280-35-5823,B,karur,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,86.72,2019-01-17,18:45,Ewallet,7.9
554-53-8700,C,Chennai,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,112.22,2019-02-02,10:11,Cash,6.3
354-25-5821,B,karur,Member,Female,Sports and travel,69.12,6,20.736,435.456,414.72,2019-08-02,13:03,Cash,5.6
228-96-1411,C,Chennai,Member,Female,Food and beverages,98.7,8,39.48,829.08,789.6,2019-04-03,20:39,Cash,7.6
617-15-4209,C,Chennai,Member,Male,Health and beauty,15.37,2,1.537,32.277,30.74,2019-03-16,19:47,Cash,7.2
132-32-9879,B,karur,Member,Female,Electronic accessories,93.96,4,18.792,394.632,375.84,2019-09-03,18:00,Cash,9.5
370-41-7321,B,karur,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,510.21,2019-02-27,17:24,Credit card,8.4
727-46-3608,B,karur,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,180.09,2019-06-02,15:47,Ewallet,4.1
669-54-1719,B,karur,Member,Male,Electronic accessories,18.93,6,5.679,119.259,113.58,2019-10-02,12:45,Credit card,8.1
574-22-5561,C,Chennai,Member,Female,Fashion accessories,82.63,10,41.315,867.615,826.3,2019-03-19,17:08,Ewallet,7.9
326-78-5178,C,Chennai,Member,Male,Food and beverages,91.4,7,31.99,671.79,639.8,2019-03-02,10:19,Cash,9.5
162-48-8011,A,Trichy,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,222.95,2019-10-02,15:10,Cash,8.5
616-24-2851,B,karur,Member,Female,Fashion accessories,17.87,4,3.574,75.054,71.48,2019-03-22,14:42,Ewallet,6.5
778-71-5554,C,Chennai,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,15.43,2019-01-25,15:46,Credit card,6.1
